,DMXR1,DMXR2,C0,C1,C2,C3,C4,C5
54,56546.966643188534363,56550.91607587553153,150.52594317152235703,339.35019286773757585,69.306930404366909215,5.6335921498268497487,2.6075803713264811279,0.16444345519955602675
56,56584.67927636644163,56585.818311719624038,46.539068912741839767,339.97889040316135834,68.59284568786877401,10.388627111412960247,1.2700101809651620499,-5.274414794651423044
61,56672.36434370686766,56676.57545916052913,144.80053032283095149,350.5683214778312049,77.092056159584913644,-9.769837483927863886,-4.0057730075364696987,5.8651252398537856436
62,56703.478835486283057,56709.470676570366784,78.463700662965166543,349.80784960497987868,73.052465596200647724,-5.189870962081334582,0.75921119011009308153,2.1843834664349937036
64,56762.228180737940416,56763.4008356040722,-64.914134299672838324,352.09978049013744794,80.24480872030923706,-8.9984179317083725635,-5.951368482632481971,5.7540711888757289927
65,56790.19204531089053,56792.219705358613286,-23.854006228003317602,346.30966292677413776,63.73229308821031225,7.2814136769173760655,7.4301043695472142048,-7.3737618374460955906
66,56828.105966251234353,56829.202306780774965,9.856134745444901313,342.45406974520892618,80.64208111873419682,2.6812835484275274744,-8.686579888491337442,-0.45971746445866101816
67,56849.992803289962467,56851.10177268899861,10.970582824052137028,341.08610171313489445,65.6918433078932793,1.419559970960111217,5.8219860861749026526,1.4906548120095084453
70,56921.77667174545059,56922.97640145855985,4.476939143887619821,341.79188926089341294,71.74321068416719527,1.5163747037859809375,-0.36555912942736823457,-1.5046752093653266158
71,56945.763785584873403,56948.8046796634153,22.669171034026273759,336.36432826052708833,71.061469835551108076,7.8970230185714660465,0.07219690999592096037,-3.0808126163795845898
72,56977.69519975875301,56978.759457808395382,-29.633497884862158855,342.37575688279127917,75.336773226294440065,-1.4847957472577100191,-2.036251170015096701,1.0320500333969115925
73,57011.51466837882617,57012.648876860657765,14.645104444969010871,342.1432467283120218,73.814371917051218475,-3.0410997793836380687,0.085683125676565663476,5.0662960415427251704
74,57040.52167083854147,57041.633433208560742,-3.2328389221261275566,341.70140616534200717,70.959792843417247354,-5.9522795070608847112,1.916481222377898197,6.728218935239022258
75,57078.370248566017835,57080.450523665669607,13.581260327858732495,342.89475849004071506,72.693650152223312944,-8.267583576506980947,1.9795929987945084516,10.537666736075639307
